NAME,gauge_ID,Polygon_Area,staion_nam,lat,lon
TOONUMBAR DAM,203042,1179888.49,TOONUMBAR DAM STO,-28.60544293,152.7703492
TULLAROOP RESERVOIR,sp-o11454,7336213.83,Tullaroop Reservoir,-37.12268735,143.8618091
TUMUT POND RESERVOIR,410542,1430741.32,Tumut Pond Reservoir,-35.96760757,148.4072204
TUMUT TWO PONDAGE,410545,145455.846,Tumut 2 Dam RL,-35.93261875,148.3616738
UPPER COLIBAN RESERVOIR,UPPERCOLIBAN,3375580.66,Upper Coliban Reservoir,-37.29016776,144.4009529
UPPER STONY CREEK RESERVOIR,RE604,761161.127,Upper Stony,-37.81835305,144.2036345
UPPER STONY CREEK RESERVOIR,RE604,761161.127,Upper Stony,-37.82787543,144.2031009
UPPER YARRA RESERVOIR,229102A,7311507.79,YARRA RIV-UY RES HG,-37.68742714,145.9262593
VICTORIA RESERVOIR,ODSS_21167_WSLAHD.1,709471.122,New Victoria Water Level-Ranger,-32.04539454,116.0734157
WARANGA BASIN,sp-o11534,56337552.7,WARANGA BASIN,-36.55521838,145.0967913
WARTOOK RESERVOIR,WARTOOK,8208525.67,Wartook Reservoir,-37.07590964,142.4530222
WEST BARWON RESERVOIR,RE750,1704409.1,West Barwon Res,-38.54689341,143.7161033
WEST GELLIBRAND DAM,RE851,229483.175,West Gelli Reservoir,-38.6030839,143.6522083
WHITE SPUR LAKE,295.1,88030.9926,WHITE SPUR POND - AT DAM,-41.89275899,145.5302636
WHITE SWAN RESERVOIR,233232A,1217631.9,White Swan,-37.51350828,143.9206732
WUNGONG RESERVOIR,ODSS_21140_WSLAHD.1,2886480.18,Wungong Water Level-Ranger,-32.21624483,116.0767819
WURAMA RESERVOIR,136113A,14370383,Wuruma Dam,-25.16294581,150.9783072
WURDIBOLUC RESERVOIR,RE704,5517113.26,Wurdee Boluc Res,-38.28531272,144.0399459
YAN YEAN RESERVOIR,229406A,4923370.1,YAN YEAN RES HG,-37.55527902,145.1378921
YERRABI POND,410791,261024.95,Yerrabi Pond,-35.17638117,149.1311921
